hunt_code,open_date,close_date,bag_limit_description,notes
3049,2026-12-04,2026-12-10,Antlerless elk,
3050,2026-10-16,2026-10-22,Antlerless elk,
3051,2026-12-04,2026-12-10,Antlerless elk,
3052,2026-10-16,2026-10-22,Antlerless elk,
3053,2026-12-04,2026-12-10,Antlerless elk,
3054,2026-12-04,2026-12-10,Antlerless elk,
3055,2026-10-16,2026-10-22,Antlerless elk,
3056,2026-12-04,2026-12-13,Antlerless elk,
3057,2026-10-16,2026-10-22,Antlerless elk,
3058,2026-10-16,2026-10-22,Antlerless elk,
3059,2026-10-16,2026-10-22,Antlerless elk,
3060,2026-10-16,2026-10-22,Antlerless elk,
3061,2026-12-04,2026-12-10,Antlerless elk,
3062,2026-10-16,2026-10-22,Antlerless elk,
3063,2026-10-09,2026-10-15,Antlerless elk,
3064,2026-10-09,2026-10-15,Antlerless elk,
3065,2026-10-09,2026-10-15,Antlerless elk,
3066,2026-10-09,2026-10-15,Antlerless elk,
3067,2026-10-09,2026-10-15,Antlerless elk,
3068,2026-10-09,2026-10-15,Antlerless elk,
3069,2026-10-09,2026-10-15,Antlerless elk,
3070,2026-10-02,2026-10-11,Antlerless elk,
3071,2026-10-09,2026-10-15,Antlerless elk,
3072,2026-10-09,2026-10-15,Antlerless elk,
3073,2026-10-02,2026-10-15,Bull elk,
3074,2026-10-16,2026-10-29,Antlerless elk,
3075,2026-10-30,2026-11-12,Antlerless elk,
3076,2026-11-13,2026-11-26,Antlerless elk,
3077,2026-09-11,2026-09-20,Antlerless elk,
3078,2026-09-25,2026-10-04,Antlerless elk,
3079,2026-10-09,2026-10-18,Antlerless elk,
3080,2026-12-04,2026-12-13,Antlerless elk,
3081,2026-10-16,2026-10-22,Antlerless elk,
3082,2026-10-23,2026-10-29,Antlerless elk,
3083,2026-10-09,2026-10-15,Antlerless elk,
3084,2026-10-16,2026-10-22,Antlerless elk,
3085,2026-10-02,2026-10-15,Antlerless elk,
3086,2026-11-06,2026-12-10,Antlerless elk,
3087,2026-08-07,2026-08-20,Antlerless elk,
3088,2026-09-11,2026-09-20,,
3089,2026-09-25,2026-10-04,,
3090,2026-10-09,2026-10-18,,
3091,2026-12-11,2026-12-24,,
3092,2026-11-06,2026-12-10,,
3093,2026-09-25,2026-10-04,,
3094,2026-10-09,2026-10-18,,
3095,2026-10-02,2026-10-29,,
3096,2026-10-09,2026-10-15,,
3097,2026-10-23,2026-10-29,,
3098,2026-11-06,2026-11-12,,
3099,2026-10-16,2026-10-22,,
3100,2026-09-25,2026-10-01,Bull elk,
3101,2026-09-25,2026-10-01,Bull elk,
3102,2026-09-25,2026-10-01,Bull elk,
3103,2026-10-02,2026-10-08,Bull elk,
3104,2026-09-25,2026-10-01,Bull elk,
3105,2026-11-27,2026-12-03,Bull elk,
3106,2026-11-13,2026-11-19,Bull elk,
3107,2026-11-06,2026-11-12,Bull elk,
3108,2026-10-16,2026-10-22,Antlerless elk,
3109,2026-12-11,2026-12-31,Antlerless elk,
3110,2026-11-13,2026-11-19,Antlerless elk,
3111,2026-10-16,2026-10-22,Antlerless elk,
3112,2026-09-25,2026-10-15,,
3113,2026-10-02,2026-10-15,Antlerless elk,
3114,2026-10-16,2026-10-29,Antlerless elk,
3115,2026-10-30,2026-11-12,Antlerless elk,
3116,2026-11-13,2026-11-26,Antlerless elk,
3117,2026-11-27,2026-12-10,Antlerless elk,
3118,2026-12-11,2026-12-31,Antlerless elk,
3119,2027-07-31,2026-08-06,Antlerless elk,
3120,2026-08-07,2026-08-13,Antlerless elk,
3121,2026-08-14,2026-08-20,Antlerless elk,
3122,2026-08-21,2026-08-27,Antlerless elk,
3123,2026-08-28,2026-09-03,Antlerless elk,
3124,2026-10-02,2026-10-08,Antlerless elk,
