Hunt#,TakeMethod,Area,Hunters,Harvest,Success%,Days,Antlered,Antlerless,%Spike,%6+Pts,Year
2144,Any Weapon,5,20,10,52,160,,10,,,2023
2145,Any Weapon,6,25,19,75,197,,19,,,2023
2146,Any Weapon,22-1,122,26,21,476,,26,,,2023
2147,Any Weapon,29,22,8,38,105,,8,,,2023
2148,Any Weapon,30,24,10,44,102,,10,,,2023
2149,Any Weapon,37,19,9,46,57,,9,,,2023
2150,Any Weapon,44,39,11,28,111,,11,,,2023
2151,Any Weapon,49,42,15,35,182,,15,,,2023
2152,Any Weapon,54,44,18,41,173,,18,,,2023
2153,Any Weapon,60-1,85,27,32,357,,27,,,2023
2154,Any Weapon,66-2,85,22,26,348,,22,,,2023
2155,Any Weapon,31,29,12,42,152,11,1,23,43,2023
2156,Short-Range Weapons,24X,15,1,9,74,,1,,,2023
2157,Any Weapon,32-1X,122,11,9,594,,11,,,2023
2158,Short-Range Weapons,32A-2X,30,5,18,147,,5,,,2023
2159,Any Weapon,36AX,173,75,44,652,,75,,,2023
2160,Any Weapon,63X,49,10,19,384,,10,,,2023
2161,Any Weapon,63X,46,13,28,303,,13,,,2023
2162,Any Weapon,74X,42,5,12,152,,5,,,2023
2163,Any Weapon,74X,48,10,20,268,,10,,,2023
2164,Any Weapon,76-1X,38,28,75,106,,28,,,2023
2165,Any Weapon,76-1X,33,14,42,131,,14,,,2023
2166,Any Weapon,11,5,4,76,22,4,,0,67,2023
2167,Any Weapon,13,15,11,73,69,11,,0,100,2023
2168,Any Weapon,13,3,3,100,3,,3,,,2023
2169,Any Weapon,18,8,5,60,38,5,,0,100,2023
2170,Any Weapon,29,7,3,49,40,3,,0,35,2023
2172,Any Weapon,36A-1,3,3,100,13,3,,0,67,2023
2173,Muzzleloader,36A-1,1,0,0,7,,,,,2023
2174,Any Weapon,36A-2,7,6,81,32,6,,0,76,2023
2175,Muzzleloader,36A-2,2,0,0,12,,,,,2023
2176,Any Weapon,37,2,1,50,11,1,,0,100,2023
2177,Any Weapon,37,1,1,100,3,,1,,,2023
2178,Any Weapon,37,1,1,100,2,,1,,,2023
2179,Any Weapon,37,2,2,100,4,,2,,,2023
2180,Any Weapon,37A,5,2,50,18,2,,0,50,2023
2181,Any Weapon,40-1,2,1,50,6,1,,0,100,2023
2182,Any Weapon,42,1,1,100,15,1,,0,100,2023
2183,Any Weapon,43,4,2,62,16,2,,60,40,2023
2184,Any Weapon,44,2,2,100,3,2,,0,50,2023
2185,Any Weapon,45,4,2,50,6,2,,0,100,2023
2187,Any Weapon,49,9,2,19,43,2,,0,100,2023
2188,Any Weapon,50-1,3,3,100,15,3,,0,100,2023
2189,Muzzleloader,50-1,3,3,100,9,3,,0,100,2023
2190,Archery,54,1,1,100,10,1,,0,0,2023
2191,Muzzleloader,54,1,1,100,4,1,,0,100,2023
2192,Any Weapon,54,3,2,67,11,,2,,,2023
2193,Any Weapon,58-1,2,0,0,13,,,,,2023
2194,Any Weapon,61,3,1,33,18,,1,,,2023
2196,Any Weapon,62-1,4,1,25,22,1,,0,0,2023
2197,Any Weapon,62-1,8,1,16,27,,1,,,2023
2198,Any Weapon,66A-1,2,2,100,8,2,,0,100,2023
2199,Any Weapon,66A-1,12,9,75,54,9,,0,44,2023
2280,Any Weapon,41-1X,34,19,57,110,,19,,,2022
2281,Any Weapon,41-2X,47,24,52,148,,24,,,2022
2282,Any Weapon,50-1X,32,19,61,85,,19,,,2022
2283,Any Weapon,51-1X,12,6,50,52,,6,,,2022
2284,Any Weapon,63-1X,37,24,65,114,1,23,0,0,2022
2285,Muzzleloader,76-1X,34,29,86,57,,29,,,2022
2601,Any Weapon,10A-1,33,28,84,321,,28,,,2023
2602,Any Weapon,14-1,43,28,67,183,,28,,,2023
2603,Any Weapon,14-2,28,23,83,166,,23,,,2023
2604,Any Weapon,21A-1X,9,4,44,10,,4,,,2023
2605,Any Weapon,22-2X,151,82,54,727,,82,,,2023
2606,Any Weapon,24-1X,38,30,79,178,,30,,,2023
2607,Any Weapon,31-1X,94,36,38,769,,36,,,2023
2608,Any Weapon,31-2X,63,32,51,281,,32,,,2023
2609,Any Weapon,33-1X,31,27,87,134,,27,,,2023
2610,Any Weapon,39-1X,31,1,4,287,,1,,,2023
2611,Any Weapon,39-2X,81,51,63,466,,51,,,2023
2612,Any Weapon,40-1X,126,70,55,619,,70,,,2023
2613,Any Weapon,41-1X,9,8,83,28,,8,,,2023
2614,Any Weapon,44-1X,74,36,49,326,,36,,,2023
2615,Any Weapon,44-1X,30,11,36,229,4,7,50,50,2023
2616,Any Weapon,45-1X,1,1,100,4,,1,,,2023
2617,Any Weapon,45-1X,10,0,0,47,,,,,2023
2618,Any Weapon,46-1X,53,16,30,257,,16,,,2023
2619,Any Weapon,46-1X,33,8,23,223,,8,,,2023
2620,Any Weapon,49-1X,55,12,22,344,,12,,,2023
2621,Any Weapon,49-1X,50,16,32,324,,16,,,2023
2622,Any Weapon,50-1X,30,16,54,118,,16,,,2023
2623,Any Weapon,51-1X,9,1,16,39,,1,,,2023
2624,Any Weapon,52-1X,34,18,54,149,,18,,,2023
2625,Any Weapon,52-1X,9,0,0,118,,,,,2023
2626,Any Weapon,54-1X,27,5,17,209,,5,,,2023
2627,Any Weapon,56-1X,17,7,44,90,,7,,,2023
2628,Any Weapon,60-1X,12,10,81,26,,10,,,2023
2629,Any Weapon,60A-1X,17,17,100,51,,17,,,2023
2630,Any Weapon,62-1X,4,2,50,12,,2,,,2023
2632,Any Weapon,66A-1X,21,18,88,116,,18,,,2023
2633,Any Weapon,68-1X,17,4,27,73,2,2,0,0,2023
2634,Any Weapon,69-1X,2,2,100,2,,2,,,2023
2635,Any Weapon,72-1X,8,2,27,14,,2,,,2023
2636,Any Weapon,74-1X,48,28,59,204,,28,,,2023
2637,Any Weapon,75-1X,12,4,30,58,,4,,,2023
2638,Any Weapon,76-1X,59,35,59,242,,35,,,2023
2639,Any Weapon,77-1X,7,4,61,40,,4,,,2023
