hunt_code,open_date,close_date,bag_limit_description,notes
25-5,2026-11-01,2026-11-10,Antlerless elk valid north of the Sweetwater River,Regular season
25-6,2026-11-01,2026-11-20,Cow or calf valid north of the Sweetwater River,Regular season; Quota: 100
25-6-ARCH,2026-09-01,2026-09-30,Cow or calf valid north of the Sweetwater River,Special archery season
27-4,2026-10-01,2026-11-20,Antlerless elk,Regular season; Quota: 75
27-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
28-Gen,2026-10-01,2026-10-14,Any elk,Regular season
28-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
28-Gen,2026-10-15,2026-10-22,Antlerless elk,Regular season
28-4,2026-11-01,2026-11-20,Antlerless elk,Regular season; Quota: 175
28-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
30-1,2026-10-01,2026-10-31,Any elk,Regular season; Quota: 40
30-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
30-4,2026-10-07,2026-11-15,Antlerless elk,Regular season; Quota: 100
30-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
31-1,2026-10-01,2026-10-31,Any elk,Regular season; Quota: 50
31-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
31-4,2026-10-07,2026-11-15,Antlerless elk,Regular season; Quota: 175
31-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
32-1,2026-10-01,2026-10-31,Any elk,Regular season; Quota: 40
32-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
32-4,2026-10-07,2026-12-31,Antlerless elk,Regular season; Quota: 150
32-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
32-9,2026-09-01,2026-09-30,"Antlerless elk, archery only",Regular season; Quota: 25
33-1,2026-10-09,2026-10-31,Any elk,Regular season; Quota: 200
33-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
33-1,2026-11-07,2026-12-31,Antlerless elk,Regular season
