"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
1109,55-1,1st,40,283,40,14%,102,0,0%,233,36,15%,50,4,8%,40,2024
1110,55-1,1st,50,68,50,74%,65,0,0%,65,47,72%,3,3,100%,50,2024
1111,60-2,1st,200,203,200,99%,74,0,0%,201,198,99%,2,2,100%,200,2024
1112,21-1X,1st,75,76,75,99%,1,0,0%,76,75,99%,0,0,0%,75,2024
1113,36A-1X,1st,75,52,52,100%,15,8,53%,51,51,100%,1,1,100%,60,2024
1114,39-1X,1st,70,373,70,19%,21,0,0%,373,70,19%,0,0,0%,70,2024
1115,40-1X,1st,100,161,100,62%,35,0,0%,161,100,62%,0,0,0%,100,2024
1117,14X,1st,125,81,81,100%,117,44,38%,81,81,100%,0,0,0%,125,2024
1118,14X,1st,125,560,125,22%,62,0,0%,547,121,22%,13,4,31%,125,2024
1119,1-1X,1st,800,1239,800,65%,186,0,0%,1218,782,64%,21,18,86%,800,2024
1120,2-1X,1st,300,439,300,68%,253,0,0%,438,299,68%,1,1,100%,300,2024
1121,3-1X,1st,150,299,150,50%,140,0,0%,298,149,50%,1,1,100%,150,2024
1122,5-1X,1st,100,316,100,32%,58,0,0%,312,97,31%,4,3,75%,100,2024
1123,11-1X,1st,50,212,50,24%,23,0,0%,210,50,24%,2,0,0%,50,2024
1124,14X,1st,180,230,180,78%,70,0,0%,224,175,78%,6,5,83%,180,2024
1125,14X,1st,250,207,207,100%,158,43,27%,203,203,100%,4,4,100%,250,2024
1126,15-1X,1st,100,243,100,41%,41,0,0%,236,98,42%,7,2,29%,100,2024
1127,16-1X,1st,150,174,150,86%,51,0,0%,172,148,86%,2,2,100%,150,2024
1128,21-1X,1st,100,76,76,100%,119,24,20%,74,74,100%,2,2,100%,100,2024
1129,21-1X,1st,150,434,150,35%,39,0,0%,430,149,35%,4,1,25%,150,2024
1130,36A-1X,1st,100,35,35,100%,69,45,65%,35,35,100%,0,0,0%,80,2024
1131,36A-1X,1st,150,350,150,43%,31,0,0%,344,148,43%,6,2,33%,150,2024
1132,38-1X,1st,10,38,10,26%,3,0,0%,38,10,26%,0,0,0%,10,2024
1133,38-1X,1st,10,38,10,26%,16,0,0%,38,10,26%,0,0,0%,10,2024
1134,38-1X,1st,10,41,10,24%,20,0,0%,41,10,24%,0,0,0%,10,2024
1135,38-1X,1st,10,58,10,17%,29,0,0%,58,10,17%,0,0,0%,10,2024
1136,50-1X,1st,40,98,40,41%,12,0,0%,96,39,41%,2,1,50%,40,2024
1137,60-1X,1st,300,309,300,97%,120,0,0%,308,299,97%,1,1,100%,300,2024
1138,60A-1X,1st,300,635,300,47%,156,0,0%,631,300,48%,4,0,0%,300,2024
1139,63AX,1st,200,543,200,37%,80,0,0%,542,199,37%,1,1,100%,200,2024
1140,68AX,1st,50,205,50,24%,7,0,0%,205,50,24%,0,0,0%,50,2024
1142,1-1,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1143,11,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1144,11A,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1145,13,1st,37,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1146,14,1st,22,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1147,18,1st,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1148,18,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1149,20A,1st,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1150,21,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1151,21-1,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1152,21A,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1153,22,1st,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1154,26,1st,46,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
1155,27,1st,117,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
