License Year,Hunting,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points,4 or More Points
2023,416,md,SUM,1983,13043,7,319,317,2,0,25,294,146,172
2023,416,wt,N,661,3907,6,85,42,40,3,12,73,3,39
2023,416,wt,R,1323,9137,7,173,88,82,3,7,166,20,67
2023,416,wt,SUM,1983,13043,7,258,129,122,6,19,239,23,106
2023,417,all_deer,N,209,1027,5,152,139,13,0,3,149,48,91
2023,417,all_deer,R,541,3471,6,157,128,29,0,3,154,30,98
2023,417,all_deer,SUM,750,4498,6,309,267,42,0,6,303,78,189
2023,417,md,N,209,1027,5,132,127,5,0,3,129,48,79
2023,417,md,R,541,3471,6,130,111,19,0,0,130,27,84
2023,417,md,SUM,750,4498,6,262,238,24,0,3,259,75,164
2023,417,wt,N,209,1027,5,21,12,9,0,0,21,0,12
2023,417,wt,R,541,3471,6,27,17,10,0,3,23,3,14
2023,417,wt,SUM,750,4498,6,47,29,18,0,3,44,3,25
2023,418,all_deer,N,132,701,5,71,48,20,3,0,71,12,36
2023,418,all_deer,R,361,1942,5,173,128,45,0,3,170,30,98
2023,418,all_deer,SUM,493,2643,5,244,176,65,3,3,240,42,134
2023,418,md,N,132,701,5,36,36,0,0,0,36,9,27
2023,418,md,R,361,1942,5,70,64,6,0,0,70,27,37
2023,418,md,SUM,493,2643,5,105,100,6,0,0,105,36,64
2023,418,wt,N,132,701,5,35,12,20,3,0,35,3,9
2023,418,wt,R,361,1942,5,104,64,40,0,3,100,3,61
2023,418,wt,SUM,493,2643,5,138,76,60,3,3,135,6,70
2023,419,all_deer,N,133,592,5,118,101,17,0,0,118,18,84
2023,419,all_deer,R,515,2762,5,355,268,87,0,0,355,83,182
2023,419,all_deer,SUM,648,3354,5,473,369,104,0,0,473,101,265
2023,419,md,N,133,592,5,68,66,3,0,0,68,12,54
2023,419,md,R,515,2762,5,187,164,23,0,0,187,42,118
2023,419,md,SUM,648,3354,5,255,229,26,0,0,255,54,172
2023,419,wt,N,133,592,5,50,36,14,0,0,50,6,30
2023,419,wt,R,515,2762,5,168,104,64,0,0,168,40,64
2023,419,wt,SUM,648,3354,5,218,140,78,0,0,218,46,94
2023,420,all_deer,N,64,485,8,21,15,6,0,0,21,9,6
2023,420,all_deer,R,268,1436,5,98,71,24,3,0,98,7,64
2023,420,all_deer,SUM,332,1921,6,118,85,30,3,0,118,16,70
2023,420,md,N,64,485,8,9,9,0,0,0,9,6,3
2023,420,md,R,268,1436,5,57,51,7,0,0,57,7,44
2023,420,md,SUM,332,1921,6,66,60,7,0,0,66,13,47
2023,420,wt,N,64,485,8,12,6,6,0,0,12,3,3
2023,420,wt,R,268,1436,5,40,20,17,3,0,40,0,20
2023,420,wt,SUM,332,1921,6,52,26,23,3,0,52,3,23
2023,421,all_deer,N,124,593,5,66,39,27,0,3,63,6,33
2023,421,all_deer,R,1189,6747,6,731,491,241,0,7,721,162,325
2023,421,all_deer,SUM,1313,7340,6,797,529,268,0,10,784,168,358
2023,421,md,N,124,593,5,27,27,0,0,3,24,3,24
2023,421,md,R,1189,6747,6,343,273,70,0,7,333,121,148
2023,421,md,SUM,1313,7340,6,370,300,70,0,10,357,124,172
2023,421,wt,N,124,593,5,39,12,27,0,0,39,3,9
2023,421,wt,R,1189,6747,6,388,218,170,0,0,388,40,177
2023,421,wt,SUM,1313,7340,6,427,230,198,0,0,427,43,186
2023,422,all_deer,N,100,557,6,71,51,17,3,6,65,15,36
2023,422,all_deer,R,498,2839,6,265,182,80,3,10,255,54,125
2023,422,all_deer,SUM,597,3396,6,336,232,98,6,16,320,69,160
2023,422,md,N,100,557,6,27,24,3,0,0,27,15,9
2023,422,md,R,498,2839,6,114,101,14,0,0,114,44,54
2023,422,md,SUM,597,3396,6,141,125,17,0,0,141,59,63
2023,422,wt,N,100,557,6,44,27,14,3,6,38,0,27
2023,422,wt,R,498,2839,6,151,81,67,3,10,141,10,71
2023,422,wt,SUM,597,3396,6,195,108,81,6,16,179,10,98
2023,424,all_deer,N,36,210,6,12,12,0,0,0,12,0,12
2023,424,all_deer,R,132,651,5,27,27,0,0,3,24,14,14
2023,424,all_deer,SUM,168,861,5,39,39,0,0,3,36,14,25
2023,424,md,N,36,210,6,12,12,0,0,0,12,0,12
2023,424,md,R,132,651,5,20,20,0,0,3,17,14,7
2023,424,md,SUM,168,861,5,32,32,0,0,3,29,14,19
2023,424,wt,N,36,210,6,0,0,0,0,0,0,0,0
2023,424,wt,R,132,651,5,7,7,0,0,0,7,0,7
2023,424,wt,SUM,168,861,5,7,7,0,0,0,7,0,7
2023,425,all_deer,N,106,522,5,59,48,12,0,0,59,18,30
2023,425,all_deer,R,428,2166,5,222,159,63,0,3,215,74,84
2023,425,all_deer,SUM,534,2688,5,281,206,74,0,3,274,92,114
2023,425,md,N,106,522,5,27,27,0,0,0,27,12,15
2023,425,md,R,428,2166,5,121,88,34,0,0,118,54,34
2023,425,md,SUM,534,2688,5,148,115,34,0,0,145,66,49
2023,425,wt,N,106,522,5,32,21,12,0,0,32,6,15
2023,425,wt,R,428,2166,5,100,71,29,0,3,97,20,51
2023,425,wt,SUM,534,2688,5,132,92,41,0,3,129,26,65
2023,426,all_deer,N,231,1021,4,190,170,20,0,0,190,48,122
2023,426,all_deer,R,808,3823,5,467,406,60,2,7,461,121,284
2023,426,all_deer,SUM,1038,4844,5,658,576,81,2,7,651,169,407
2023,426,md,N,231,1021,4,140,134,6,0,0,140,33,101
2023,426,md,R,808,3823,5,379,352,26,2,3,376,108,244
2023,426,md,SUM,1038,4844,5,519,486,32,2,3,516,141,345
2023,426,wt,N,231,1021,4,50,36,14,0,0,50,15,21
2023,426,wt,R,808,3823,5,88,54,34,0,3,85,14,40
2023,426,wt,SUM,1038,4844,5,138,90,49,0,3,135,28,61
2023,441,all_deer,N,69,390,6,53,31,20,3,3,51,0,31
2023,441,all_deer,R,563,3177,6,278,192,83,3,0,275,62,130
2023,441,all_deer,SUM,631,3567,6,332,223,102,6,3,325,62,161
2023,441,md,N,69,390,6,21,16,5,0,3,18,0,16
2023,441,md,R,563,3177,6,126,106,16,3,0,126,36,71
2023,441,md,SUM,631,3567,6,147,122,22,3,3,144,36,87
