License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2024,Reg_6,R,2522,20389,8,600,292,294,13,166,434,10,76,206
2024,Reg_6,SUM,2939,23955,8,681,340,328,13,197,484,10,86,244
2024,Reg_7,N,877,5658,7,409,170,229,9,100,309,13,26,132
2024,Reg_7,R,4917,38770,8,1533,675,818,40,327,1201,61,151,463
2024,Reg_7,SUM,5794,44428,8,1941,845,1047,49,427,1510,74,176,595
2024,Reg_X,N,165,1063,6,26,23,3,0,5,21,0,18,5
2024,Reg_X,R,309,1918,6,27,9,18,0,0,27,0,3,6
2024,Reg_X,SUM,474,2981,6,53,32,21,0,5,48,0,21,11
2024,State,N,20066,153834,8,6342,3743,2534,64,1333,4998,60,1785,1895
2024,State,R,91903,946480,10,21846,9471,11890,485,2745,18918,429,4539,4485
2024,State,SUM,111969,1100314,10,28188,13213,14425,550,4078,23916,489,6324,6379
2024,XXX,N,165,1063,6,26,23,3,0,5,21,0,18,5
2024,XXX,R,309,1918,6,27,9,18,0,0,27,0,3,6
2024,XXX,SUM,474,2981,6,53,32,21,0,5,48,0,21,11
