"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
2115,52,2nd,3,169,3,2%,55,0,0%,148,2,1%,21,1,5%,3,2025
2116,60-2,2nd,7,274,7,3%,92,0,0%,267,7,3%,7,0,0%,7,2025
2117,60-2,2nd,3,274,3,1%,116,0,0%,260,3,1%,14,0,0%,3,2025
2118,62-1,2nd,4,53,4,8%,15,0,0%,48,4,8%,5,0,0%,4,2025
2120,63,2nd,1,42,1,2%,11,0,0%,39,1,3%,3,0,0%,1,2025
2121,18,2nd,1,54,1,2%,15,0,0%,43,1,2%,11,0,0%,1,2025
2122,39,2nd,2,118,2,2%,40,0,0%,108,2,2%,10,0,0%,2,2025
2125,45-1,2nd,4,92,4,4%,20,0,0%,78,3,4%,14,1,7%,4,2025
2126,46-1,2nd,1,23,1,4%,10,0,0%,16,0,0%,7,1,14%,1,2025
2128,10A,2nd,4,23,4,17%,1,0,0%,22,4,18%,1,0,0%,4,2025
2129,22,2nd,73,46,46,100%,31,27,87%,45,45,100%,1,1,100%,73,2025
2130,30A,2nd,4,66,4,6%,13,0,0%,53,4,8%,13,0,0%,4,2025
2132,33-2,2nd,1,40,1,3%,7,0,0%,37,1,3%,3,0,0%,1,2025
2133,36A,2nd,33,95,33,35%,25,0,0%,72,24,33%,23,9,39%,33,2025
2134,39,2nd,5,281,5,2%,52,0,0%,260,4,2%,21,1,5%,5,2025
2135,39,2nd,81,81,81,100%,62,0,0%,79,79,100%,2,2,100%,81,2025
2137,48,2nd,7,22,7,32%,17,0,0%,18,7,39%,4,0,0%,7,2025
2138,49,2nd,10,46,10,22%,18,0,0%,40,9,23%,6,1,17%,10,2025
2139,50-1,2nd,2,63,2,3%,15,0,0%,54,2,4%,9,0,0%,2,2025
2140,54,2nd,1,431,1,0%,75,0,0%,323,0,0%,108,1,1%,1,2025
2142,61,2nd,90,34,34,100%,32,28,88%,27,27,100%,7,7,100%,62,2025
2143,64-1,2nd,3,5,3,60%,11,0,0%,5,3,60%,0,0,0%,3,2025
2144,66-1,2nd,4,52,4,8%,21,0,0%,49,4,8%,3,0,0%,4,2025
2145,70-1,2nd,16,94,16,17%,42,0,0%,80,14,18%,14,2,14%,16,2025
2146,1,2nd,1,26,1,4%,9,0,0%,24,1,4%,2,0,0%,1,2025
2147,2,2nd,1,5,1,20%,3,0,0%,5,1,20%,0,0,0%,1,2025
2148,3,2nd,1,20,1,5%,8,0,0%,20,1,5%,0,0,0%,1,2025
2150,5,2nd,2,19,2,11%,12,0,0%,18,2,11%,1,0,0%,2,2025
2151,6,2nd,4,45,4,9%,7,0,0%,42,4,10%,3,0,0%,4,2025
2152,22-1,2nd,47,30,30,100%,13,1,8%,30,30,100%,0,0,0%,31,2025
2153,22-1,2nd,113,24,24,100%,15,3,20%,24,24,100%,0,0,0%,27,2025
2154,29,2nd,2,2,2,100%,2,0,0%,2,2,100%,0,0,0%,2,2025
2155,30,2nd,2,21,2,10%,3,0,0%,18,2,11%,3,0,0%,2,2025
2156,31,2nd,20,35,20,57%,6,0,0%,35,20,57%,0,0,0%,20,2025
2157,37,2nd,3,20,3,15%,5,0,0%,17,3,18%,3,0,0%,3,2025
2158,44,2nd,2,33,2,6%,19,0,0%,33,2,6%,0,0,0%,2,2025
2159,49,2nd,2,20,2,10%,5,0,0%,19,2,11%,1,0,0%,2,2025
2161,60-1,2nd,32,30,30,100%,8,2,25%,30,30,100%,0,0,0%,32,2025
2162,66-2,2nd,5,24,5,21%,10,0,0%,24,5,21%,0,0,0%,5,2025
2165,32-1X,2nd,9,465,9,2%,34,0,0%,460,9,2%,5,0,0%,9,2025
2166,32A-2X,2nd,9,94,9,10%,71,0,0%,94,9,10%,0,0,0%,9,2025
2167,36AX,2nd,14,900,14,2%,14,0,0%,886,14,2%,14,0,0%,14,2025
2168,62-1X,2nd,12,15,12,80%,2,0,0%,15,12,80%,0,0,0%,12,2025
2169,63X,2nd,10,71,10,14%,43,0,0%,69,10,14%,2,0,0%,10,2025
2170,63X,2nd,7,195,7,4%,30,0,0%,193,7,4%,2,0,0%,7,2025
2171,69-1X,2nd,9,36,9,25%,4,0,0%,36,9,25%,0,0,0%,9,2025
2172,74X,2nd,8,36,8,22%,24,0,0%,36,8,22%,0,0,0%,8,2025
2173,74X,2nd,6,56,6,11%,37,0,0%,56,6,11%,0,0,0%,6,2025
2174,76-1X,2nd,7,86,7,8%,13,0,0%,85,7,8%,1,0,0%,7,2025
